,teks,tipe
0,Ada motor ada sepeda \n Semuanya beroda dua \n Indonesia kaya budaya \n Sepatutnya kita menjaganya,Pantun Adat dan Alam
1,Ada pisang ada semangka \n Jika dimakan manis rasanya \n Indonesia ragam budaya \n Tugas kita tuk menjaganya,Pantun Adat dan Alam
2,Ada rusa ada buaya \n Sungguh hitam warna matanya \n Ada adat seribu bahasa \n Kita wajib menghormatinya,Pantun Adat dan Alam
3,Alat timbang pucuknya patah \n Beli baru hendak dipesan \n Alam terkembang amat indah \n Dipandang-pandang tiada bosan,Pantun Adat dan Alam
4,Anak cina makan petai \n Kakinya terikat rantai \n Lihatlah indahnya pantai \n Membuat jiwa terasa santai,Pantun Adat dan Alam
5,Bahagia hati akan menikah \n Duduk sendiri di dalam rumah \n Walau lelah kaki melangkah \n Puncak gunung sangatlah indah,Pantun Adat dan Alam
6,Bayi datang ke darat \n Dari Makassar langsung ke Deli \n Hidup di dunia untuk peradaban \n Bahasa tidak dibeli dan dijual,Pantun Adat dan Alam
7,Beli gudek di Jogjakarta \n Beli markisa di Medan \n Kalau kalian memang pemuda \n Mari bersama lesarikan hutan,Pantun Adat dan Alam
8,Beli sepatu yang warnanya bagus \n Belinya dipasar kamis \n Jangan sampai hutan hangus \n Nanti air bisa habis,Pantun Adat dan Alam
9,Benih ditabur benih disemai \n Kacang tersiram jadi kecambah \n Alam desa begitu damai \n Di hamparan sawah tepi lembah,Pantun Adat dan Alam
10,Besi bagus parang panjang \n Jatuh ke sawah tanah gembur \n Pantai indah memanjang \n Ombak datang mendebur,Pantun Adat dan Alam
11,Buah duku buah rambutan \n Dipenen saat musim hujan \n Katanya berpendidikan \n Kok buah sampah sembarangan,Pantun Adat dan Alam
12,Buah duku buah rambutan \n Rasanya manis asam \n Jaga bumi jaga hutan \n Supaya lestari alam,Pantun Adat dan Alam
13,Buah lonjong Buah blewah \n Buah berbulu Buah rambutan \n Kalau kalain anak sekolah \n Jangan buang sampah sembarangan,Pantun Adat dan Alam
14,Buah semangka buah jeruk \n Di tanam di kota London \n Kalau kamu mau sejuk \n Banyak-banyaklah tanam pohon,Pantun Adat dan Alam
15,Bukan sembarang kacang \n Kacang terbungkus jati \n Kami tidak hanya datang \n Ayo bawa nafsu dalam hati,Pantun Adat dan Alam
16,Cahaya surya hangatlah sudah \n Hangatnya penuhi udara \n Indonesia sangatlah indah \n Pulau mengambang bagai mutiara,Pantun Adat dan Alam
17,Datang ke pasar pada hari Minggu \n Untuk membeli semangka di pasar \n Adat tersebar di seluruh Indonesia \n Sebagai identitas nasional,Pantun Adat dan Alam
18,Di hutan ada macan \n Di sungai ada buaya \n Ayo dong jaga lingkungan \n Biar hidup lebih tertata,Pantun Adat dan Alam
19,Di rumah ada kelinci \n Tidak suka memakan pisang \n Bermain pantun adatnya Betawi \n Pantang mundur sebelum bertarung,Pantun Adat dan Alam
20,Duduk di antara teman dan musuh \n Nan ada di sebelah kanan \n Apakah Anda ingin berdiri di atas lawan Anda? \n Kata itu berakhir di sana,Pantun Adat dan Alam
21,Hari panas minum blewah \n Membasahi tenggorokan kering \n Para petani turun ke sawah \n Memetik padi yang menguning,Pantun Adat dan Alam
22,Hijau warna kacang kecipir \n Sudah kering dibuat seni \n Menginjak kaki di atas pasir \n Ombak mengalun menemani,Pantun Adat dan Alam
23,Insan beriman kuat akidah \n Agar mereka masuk ke surga \n Gunung berjajar amat indah \n Mempesona alam Indonesia,Pantun Adat dan Alam
24,Jalan-jalan ke toko bunga \n Setangkai bunga untuk sang mama \n Ragam budaya kekayaan kita \n Sudah sepatutnya harus dijaga,Pantun Adat dan Alam
25,Jangkrik bunyinya krik-krik \n Sering bersuara terang bulan \n Yuk kita hemat lsitrik \n Untuk bumi di masa depan,Pantun Adat dan Alam
26,Jika sehat setiap hari \n Jangan lupa tuk berolahraga \n Ada adat di suku betawi \n Berpantun ria jadi namanya,Pantun Adat dan Alam
27,Kalau kerja dapat upah \n Punya upah bisa berdandan \n Kalian kan sudah sekolah \n Jangan buang sampah sembarangan,Pantun Adat dan Alam
28,Ke masjid ketemu kiyai \n Ke dukun ketemu nenek sihir \n Jangan suka buang sampah kesungai \n Nanti kalau hujan kena kena banjir,Pantun Adat dan Alam
29,Ke pasar beli semangka \n Sampai rumah langsung digantung \n Siapa yang suka jaga kebersihan \n Semoga dia beruntung,Pantun Adat dan Alam
30,Ke pasar beli telur asin \n Perginya berjalan kaki \n Jangan sungkan tuk berpantun \n Jika bertemu orang betawi,Pantun Adat dan Alam
31,Ke taman tiap hari selasa \n Enak nya liat satwa rusa \n Kamu main geme bisa \n Masa jaga alam gak bisa,Pantun Adat dan Alam
32,Kenapa orang buat roket \n Rumah besar jadi robek \n Ke gunung memakai jaket \n Hawa dingin begitu lengket,Pantun Adat dan Alam
33,Kepala bunga lebat \n Aroma manis bunga cempaka \n Pusaka menjaga adat \n Warisan baru dipertahankan,Pantun Adat dan Alam
34,Kura-kura dalam tempurung \n Usia tua tempurung lebar \n Mari wisata di tepi gunung \n Banyak taman bunga mekar,Pantun Adat dan Alam
35,Liburan di kota Surabaya \n Keluar dari pesawat \n Negara ini memiliki ribuan budaya \n Tanda-tanda budaya jelas,Pantun Adat dan Alam
36,Main game sampe malam \n Mata bisa sampe lebam \n Yuk jaga alam \n Agar nanti bisa tenteram,Pantun Adat dan Alam
37,Mainkan untuk melihat angsa \n Berenang angsa di rawa \n Jika tidak bisa menjaga budaya \n Identitas bangsa kita sudah berakhir,Pantun Adat dan Alam
38,Makan malam lauknya ikan \n Pasti habis sepiring nasi \n Jangan lupa tuk berpantun \n Jika bertamu ke rumah betawi,Pantun Adat dan Alam
39,Matahari mulai meredup \n Tanda akan datang malamu \n Kalau mau terumbu karangmu hidup \n Jangan cemari lautanmu,Pantun Adat dan Alam
40,Menanam kelapa di Pulau Bukum \n Tinggi selama berbuah \n Adat dimulai dengan hukum \n Hukum dimulai dengan kitab Allah,Pantun Adat dan Alam
41,Naik kuda keliling kota \n Tak lupa juga pakai sepatu \n Beribu-ribu budaya kita \n Harus dijaga sepanjang waktu,Pantun Adat dan Alam
42,Naik pesawat \n Ke kota Semarang \n Bangsa ini memiliki ribuan adat \n Warisan budaya leluhur,Pantun Adat dan Alam
43,Negeri arab negeri onta \n Penyair membuat burdah \n Betapa aku cinta \n Negeriku yang indah,Pantun Adat dan Alam
44,Orang cerdas berinovatif \n urang aring untuk berdandan \n Yuk berfikir konservatif \n Untuk bumi masa depan,Pantun Adat dan Alam
45,Orang perang pasang ranjau \n Bisa meledak di ujung tangan \n Kebun teh terhampar hijau \n Menyenangkan pandangan,Pantun Adat dan Alam
46,Pagi-pagi tanam rambutan \n Pilih bibitnya yang unggul \n Yuk stop kebakaran hutan \n Agar hutan tidak menggundul,Pantun Adat dan Alam
47,Pergi ke mal untuk membeli mangga \n Mangga milik Bupati \n Ayo kerja sama \n Semangat untuk menjaga adat,Pantun Adat dan Alam
48,Pergi sekolah naik sepeda \n Jangan lupa pakai sepatu \n Walau beragam budaya kita \n Tetap bersatu sepanjang waktu,Pantun Adat dan Alam
49,Pergi umrah ke Mekah \n Malamya sholat tahajud \n Mau pantai mu indah \n Jangan buang sampah di laut,Pantun Adat dan Alam
50,Perut lapar di siang hari \n Belum makan sepiring nasi \n Adat budaya wajib lestari \n Dari generasi ke generasi,Pantun Adat dan Alam
51,Pintu kayu kayu berpalang \n Sungguh indah amat meminang \n Pepohonan tinggi menjulang \n Berkemah di sana sungguh senang,Pantun Adat dan Alam
52,Saya berlari maraton di pagi hari \n Maraton berlari di sekitar sungai \n Adat budaya juga memiliki martabat \n Karena itu tidak dapat dibeli dan dijual,Pantun Adat dan Alam
53,Si Udin tiup balon \n Eh pecah kena sikat \n Kecil belajar tanam pohon \n Besar tuai banyak manfaat,Pantun Adat dan Alam
54,Sisa sabun hanya buih \n Banyak tertebar bagai benih \n Batu putih pasir putih \n Air pantainya begitu jernih,Pantun Adat dan Alam
55,Tanam padi di sawah \n Kalau sudah panen disetor \n Jangan sembarangan buang sampah \n Nanti  lingkungan jadi kotor,Pantun Adat dan Alam
56,Tiap lebaran ada ketupat \n Dimakan bersama teman \nKatanya anda pejabat \n Kok masih buang sampah sembarangan,Pantun Adat dan Alam
57,Usah meletakan kalung genta \n Genta berisik suaranya \n Desaku tempat wisata \n Banyak orang mengunjunginya,Pantun Adat dan Alam
58,Waktu petang masak ketan \n Sungguh lezat bersama rendang \n Rindu pulang kampung halaman \n Menikmati kebun dan ladang,Pantun Adat dan Alam
59,Ada keris dalam peti \n Terbuat dari kayu jati \n Mari semaikan budi pekerti \n Semoga panen amal di akhirat nanti,Pantun Agama
60,Ada lagu judul bang Thoyib \n Gak pulang-pulang apakah mati syahid? \n Dengar dentum adzan Maghrib \n Segeralah pergi ke Masjid,Pantun Agama
61,Adi anak tunggal \n Punya adik namanya bara \n Lima waktu kalau ditinggal \n Alamat badan akan sengsara,Pantun Agama
62,Angka satu setelahnya dua \n Jangan lari jangan terkejut \n Amalkan ibadah hinggalah tua \n Rajin mengaji rajin tahajud,Pantun Agama
63,Api merah tengah berkobar \n Apinya sangat menjalar lebar \n Hidup di dunia harus sabar \n Dadanya lapang pikiran segar,Pantun Agama
64,Bangunlah rumah memakai bata \n Bata disimpan menjadi dua \n Tabahkan hati meraih cita \n Kepada Tuhan kita berdoa,Pantun Agama
65,Berhenti di stasiun Tawang \n Disana beli gorengan \n Bulatkan tekad untuk berjuang \n Lalu tawakal kepada Tuhan,Pantun Agama
66,Berjalan bersama kawan \n Sungguh lebar ini senyuman \n Didik hati untuk dermawan \n Untuk mendapat kasih Tuhan,Pantun Agama
67,Bersama teman naik kuda pacuan \n Tapal kudanya ternyata berkarat \n Lekas pergi mengaji wahai kawan \n Agar tidak tersesat nanti di akhirat,Pantun Agama
68,Bertemu sahabat karib \n Di toko pak Gendut \n Setelah penuh sholat wajib \n Coba dhuha dan tahajud,Pantun Agama
69,Bunga mawar penuh duri \n Kena tangan sungguh tersakiti \n Sholat Ashar di sore hari \n Membuat tenang lubuk hati,Pantun Agama
70,Dapat kiriman karangan \n Indah sekali di taruh taman \n Pantun ini penuh wejangan \n Mudah-mudahan jadi bimbingan,Pantun Agama
71,Dari Aceh ada tari seudati \n Sungguh menarik dilihati \n Tawadhu merendahkan hati \n Tanda iman dalam hati,Pantun Agama
72,Di bukit belakang ada telaga \n Telaga itu sudah cukup tua usianya \n Belajarlah mengaji supaya kelak masuk surga \n Jangan hanya mengejar dunia dan segala isinya,Pantun Agama
73,Elok sekali burung dara \n Juara 1 terbang seolah-olah \n Bila berjumpa dengan saudara \n Hendaknya engkau berwajah cerah,Pantun Agama
74,Gelas kaca pecah di lantaiku \n Malah kena lututku \n Hormatilah ibumu dan ayahmu \n Niscaya pintu surga terbuka untukmu,Pantun Agama
75,Jalan-jalan ke daerah Tuban \n Kelilingnya naik delman \n Berbuat baik itu kewajiban \n Bagi setiap orang yang beriman,Pantun Agama
76,Jalan-jalan membeli pisang aroma \n Pisang membuat kenyang dan badan sehat \n Utamakan untuk belajar agama \n Sebagai bekal di dunia dan kelak di akhirat,Pantun Agama
77,Jangan sedih karene nestapa \n Sungguh enak jika dilupa \n Sholat dzuhur jangan dilupa \n Walaupun sesibuk apa,Pantun Agama
78,Kerjain pr jangan malas \n Eh malah main kipas \n Berbuat baik mesti ikhlas \n Tak usah berharap manusia membalas,Pantun Agama
79,Kuliah ikut Mapala \n Tes nya bolak-balik tangga \n Kepada Allah mohonkan pahala \n Semoga dapat memasuki surga,Pantun Agama
80,Lapar sekali ingin makan \n Makan dengan sambel roa \n Sholat Maghrib kita tunaikan \n Bersimpuh sepenuh jiwa,Pantun Agama
81,Main bareng ke telaga \n Telaga jauh di Sumbawa \n Jika berharap kepada manusia \n Pasti hati akan kecewa,Pantun Agama
82,Makan roti minum es tebu \n Es tebu dipakein madu \n Jangan pernah membentak ibu \n Allah akan marah kepadamu,Pantun Agama
83,Mama baik pergi ke pasar \n Sungguh senang tertawa lebar \n Bangunlah di saat fajar \n Tunaikan subuh dengan sabar,Pantun Agama
84,Menonton kajian Zakir Naik \n Sungguh ceria masih dikasih umur \n Matahari sudah naik \n Dirikanlah sholat dzuhur,Pantun Agama
85,Panas ini sungguh gerah \n Ingin lompat dari jembatan \n Jauhi olehmu amarah \n Amarah jalan masuk setan,Pantun Agama
86,Pergi ke Malaysia mampir di Kedah \n Kayaknya sih salah arah \n Banyak godaan dalam beribadah \n Tapi jangan pernah menyerah,Pantun Agama
87,Pergi ke pantai bersama \n Pulangnya berdua \n Ibadah di dunia tiada lama \n Akan selesai saat ajal tiba,Pantun Agama
88,Pergi ke pantai menikmati semilir angin \n Di pantai kebetulan banyak perahu lewat \n Pergilah belajar al-quran sebaik mungkin \n Agar kelak di akhirat banyak mendapat syafaat,Pantun Agama
89,Pergi ke pasar mencari daun selasih \n Jangan lupa juga beli semangka tanpa biji \n Ayo lekas berkemas mandi yang bersih \n Baru setelah itu segera pergi mengaji,Pantun Agama
90,Perut lapar memakan mi \n Mi direbus minum airnya \n Ingatlah selalu hadis ini \n Salat itu tiang agama,Pantun Agama
91,Tiada letih tiada lelah \n Tiada lubang tiada celah \n Pagi hari kita ke sekolah \n Sore hari kita ke madrasah,Pantun Agama
